feature,mean_abs_shap
EXT_SOURCE_3,0.38702056
EXT_SOURCE_2,0.3673213
AMT_GOODS_PRICE,0.2408443
AMT_CREDIT,0.17077
CODE_GENDER_M,0.1673142
NAME_EDUCATION_TYPE,0.11858364
FLAG_OWN_CAR,0.09222694
AGE_YEARS,0.07939672
AMT_ANNUITY,0.073273435
DAYS_ID_PUBLISH,0.07111424
DAYS_EMPLOYED,0.06532725
NAME_FAMILY_STATUS_Married,0.0648164
NAME_CONTRACT_TYPE_Revolving loans,0.049462248
FLAG_DOCUMENT_3,0.04831239
DAYS_LAST_PHONE_CHANGE,0.045619644
CREDIT_TO_INCOME,0.04337974
YEARS_EMPLOYED,0.039667174
REGION_RATING_CLIENT_W_CITY,0.037145462
DAYS_BIRTH,0.036702625
AMT_REQ_CREDIT_BUREAU_QRT,0.033893988
AMT_REQ_CREDIT_BUREAU_YEAR,0.029556274
FLAG_WORK_PHONE,0.028892882
REGION_POPULATION_RELATIVE,0.028030591
DEBT_TO_INCOME,0.027881691
EMPLOYMENT_TO_AGE,0.026608508
DAYS_REGISTRATION,0.025702512
DEF_60_CNT_SOCIAL_CIRCLE,0.021901587
REG_CITY_NOT_LIVE_CITY,0.020368
NAME_INCOME_TYPE_Working,0.01996958
HOUR_APPR_PROCESS_START,0.018922253
FLAG_PHONE,0.018652683
YEARS_BEGINEXPLUATATION_MODE,0.016883617
AMT_INCOME_TOTAL,0.016769918
TOTALAREA_MODE,0.015755622
DEF_30_CNT_SOCIAL_CIRCLE,0.014641493
OCCUPATION_TYPE_Core staff,0.013859419
ORGANIZATION_TYPE_Self-employed,0.012772445
FLOORSMAX_MEDI,0.012416162
EMERGENCYSTATE_MODE_Unknown,0.012165716
OCCUPATION_TYPE_Laborers,0.011316971
WEEKDAY_APPR_PROCESS_START_MONDAY,0.011144069
OCCUPATION_TYPE_Drivers,0.010346838
NAME_HOUSING_TYPE_House / apartment,0.010037336
ORGANIZATION_TYPE_Industry: type 9,0.008002164
AMT_REQ_CREDIT_BUREAU_MON,0.007992731
OBS_60_CNT_SOCIAL_CIRCLE,0.0075012925
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0074762627
FLOORSMAX_AVG,0.0073845405
OBS_30_CNT_SOCIAL_CIRCLE,0.006931671
ORGANIZATION_TYPE_School,0.0067256303
FLAG_DOCUMENT_6,0.0063055265
NAME_INCOME_TYPE_State servant,0.006276765
NAME_FAMILY_STATUS_Single / not married,0.005974804
FLAG_DOCUMENT_16,0.0057608904
ORGANIZATION_TYPE_Construction,0.005650989
FLAG_OWN_REALTY,0.0054083415
YEARS_BEGINEXPLUATATION_MEDI,0.005236452
FLAG_DOCUMENT_18,0.0052115587
YEARS_BEGINEXPLUATATION_AVG,0.005196118
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0050420044
ORGANIZATION_TYPE_Business Entity Type 3,0.00488245
ORGANIZATION_TYPE_Military,0.0048708124
CNT_CHILDREN,0.0048436727
ORGANIZATION_TYPE_Other,0.004585486
CNT_FAM_MEMBERS,0.004419327
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.003997911
FLAG_DOCUMENT_8,0.0038306913
FLAG_DOCUMENT_13,0.003698171
NAME_TYPE_SUITE_Unaccompanied,0.0035024006
OCCUPATION_TYPE_Sales staff,0.0034846961
FLAG_EMP_PHONE,0.0033530788
AMT_REQ_CREDIT_BUREAU_WEEK,0.0032951797
ORGANIZATION_TYPE_Bank,0.0030699435
REGION_RATING_CLIENT,0.002913787
ORGANIZATION_TYPE_Trade: type 2,0.0028283852
FLAG_DOCUMENT_11,0.0027703545
ORGANIZATION_TYPE_Transport: type 3,0.0026654531
OCCUPATION_TYPE_Low-skill Laborers,0.0026386913
ORGANIZATION_TYPE_Government,0.0026062627
ORGANIZATION_TYPE_Kindergarten,0.0024409099
NAME_HOUSING_TYPE_Office apartment,0.0023849602
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.002287881
FLOORSMAX_MODE,0.0022735922
ORGANIZATION_TYPE_Hotel,0.0020381315
FLAG_DOCUMENT_15,0.0020265083
ORGANIZATION_TYPE_Medicine,0.0019572743
OCCUPATION_TYPE_High skill tech staff,0.001941467
ORGANIZATION_TYPE_Police,0.0019308135
OCCUPATION_TYPE_Medicine staff,0.0018554791
FLAG_DOCUMENT_14,0.0018430431
OCCUPATION_TYPE_Managers,0.001829814
REG_REGION_NOT_LIVE_REGION,0.001792126
ORGANIZATION_TYPE_Business Entity Type 1,0.0017491797
FLAG_EMAIL,0.001613539
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0015587851
"NAME_TYPE_SUITE_Spouse, partner",0.0015187878
NAME_FAMILY_STATUS_Widow,0.0014889624
ORGANIZATION_TYPE_Security Ministries,0.0014175931
LIVE_CITY_NOT_WORK_CITY,0.0013714865
REG_CITY_NOT_WORK_CITY,0.0013371301
NAME_HOUSING_TYPE_Municipal apartment,0.0012436206
OCCUPATION_TYPE_Security staff,0.0011531126
AMT_REQ_CREDIT_BUREAU_DAY,0.0010721384
NAME_HOUSING_TYPE_Rented apartment,0.0010561027
NAME_INCOME_TYPE_Pensioner,0.0010503177
OCCUPATION_TYPE_Unknown,0.0009972157
NAME_INCOME_TYPE_Commercial associate,0.0009499008
OCCUPATION_TYPE_Private service staff,0.0008743738
NAME_TYPE_SUITE_Unknown,0.00084113557
ORGANIZATION_TYPE_Transport: type 4,0.00083341537
ORGANIZATION_TYPE_Business Entity Type 2,0.0008113662
OCCUPATION_TYPE_IT staff,0.0007262396
NAME_TYPE_SUITE_Family,0.00071374245
ORGANIZATION_TYPE_Trade: type 6,0.0006796133
ORGANIZATION_TYPE_Industry: type 12,0.0006673361
NAME_FAMILY_STATUS_Separated,0.00066104135
OCCUPATION_TYPE_Cleaning staff,0.000646678
NAME_HOUSING_TYPE_With parents,0.00064110314
ORGANIZATION_TYPE_Housing,0.00059494266
OCCUPATION_TYPE_Cooking staff,0.0005820353
ORGANIZATION_TYPE_Services,0.00057959615
REG_REGION_NOT_WORK_REGION,0.00046653202
ORGANIZATION_TYPE_Transport: type 2,0.00043634203
ORGANIZATION_TYPE_Industry: type 5,0.0004297356
FLAG_DOCUMENT_5,0.0004267326
ORGANIZATION_TYPE_Realtor,0.0003719137
ORGANIZATION_TYPE_Restaurant,0.000370443
ORGANIZATION_TYPE_Industry: type 3,0.00033349352
ORGANIZATION_TYPE_Postal,0.00030188146
LIVE_REGION_NOT_WORK_REGION,0.00030033255
ORGANIZATION_TYPE_Industry: type 7,0.00028388642
OCCUPATION_TYPE_Waiters/barmen staff,0.00025266127
FLAG_CONT_MOBILE,0.00024529942
ORGANIZATION_TYPE_Legal Services,0.00021674743
ORGANIZATION_TYPE_Agriculture,0.00018830772
ORGANIZATION_TYPE_University,0.00015311663
ORGANIZATION_TYPE_Trade: type 4,0.00013383442
ORGANIZATION_TYPE_Security,0.00012021402
ORGANIZATION_TYPE_Trade: type 7,0.000115162045
FLAG_DOCUMENT_9,0.00011416278
OCCUPATION_TYPE_Secretaries,8.355767e-05
ORGANIZATION_TYPE_Transport: type 1,8.2333754e-05
ORGANIZATION_TYPE_Culture,7.70785e-05
ORGANIZATION_TYPE_Trade: type 3,7.390886e-05
NAME_INCOME_TYPE_Unemployed,6.802987e-05
ORGANIZATION_TYPE_Cleaning,6.333759e-05
